License,Count
MIT License,1015
GNU General Public License v3.0,554
Other,462
"BSD 3-Clause ""New"" or ""Revised"" License",297
Apache License 2.0,203
Invalid GitHub URL,176
GNU General Public License v2.0,67
Repository not found,59
GNU Lesser General Public License v3.0,56
"BSD 2-Clause ""Simplified"" License",56
GNU Affero General Public License v3.0,52
License not specified,47
GNU Lesser General Public License v2.1,22
Mozilla Public License 2.0,21
ISC License,7
European Union Public License 1.2,6
Artistic License 2.0,3
Boost Software License 1.0,3
Eclipse Public License 2.0,2
Creative Commons Zero v1.0 Universal,2
Creative Commons Attribution 4.0 International,1
"BSD 4-Clause ""Original"" or ""Old"" License",1
Creative Commons Attribution Share Alike 4.0 International,1
